Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Line.S_1000042-DA6,    20.5224,   -64.10,          0,     0.00,          0,     0.00,          0,     0.00,    20.5224,   -64.10,    20.5224,   115.90,          0,     0.00,          0,     0.00,          0,     0.00,    20.5224,   115.90
Line.S_1000042-DA7,    20.5224,   -64.10,          0,     0.00,          0,     0.00,          0,     0.00,    20.5224,   -64.10,    20.5224,   115.90,          0,     0.00,          0,     0.00,          0,     0.00,    20.5224,   115.90
Line.S_1000077-DA1,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000077-DA2,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000077-DA3,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000077-DA4,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000077-DA5,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000077-DA6,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000474-DA1,    14.3662,   -64.11,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   -64.11,    14.3662,   115.89,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   115.89
Line.S_1000474-DA2,    14.3662,   -64.11,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   -64.11,    14.3662,   115.89,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   115.89
Line.S_1000474-DA3,    14.3662,   -64.11,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   -64.11,    14.3662,   115.89,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   115.89
Line.S_1000474-DA4,    14.3662,   -64.11,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   -64.11,    14.3662,   115.89,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   115.89
Line.S_1000474-DA5,    14.3662,   -64.11,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   -64.11,    14.3662,   115.89,          0,     0.00,          0,     0.00,          0,     0.00,    14.3662,   115.89
Line.S_1000043-DA1,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000043-DA2,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000043-DA3,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000043-DA4,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000043-DA5,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1000043-DA6,    11.9724,   -64.13,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   -64.13,    11.9724,   115.87,          0,     0.00,          0,     0.00,          0,     0.00,    11.9724,   115.87
Line.S_1001567-DA1,    50.3703,   -94.26,    50.3748,   145.80,    50.3845,    25.67,          0,     0.00,  0.0904419,   -86.82,    50.3704,    85.74,    50.3748,   -34.20,    50.3845,  -154.33,          0,     0.00,  0.0904419,    93.18
Line.S_1001567-DA2,    50.3703,   -94.26,    50.3748,   145.80,    50.3845,    25.67,          0,     0.00,  0.0904419,   -86.82,    50.3704,    85.74,    50.3748,   -34.20,    50.3845,  -154.33,          0,     0.00,  0.0904419,    93.18
Line.S_1001567-DA3,    50.3703,   -94.26,    50.3748,   145.80,    50.3845,    25.67,          0,     0.00,  0.0904419,   -86.82,    50.3704,    85.74,    50.3748,   -34.20,    50.3845,  -154.33,          0,     0.00,  0.0904419,    93.18
Line.S_1000233-DB1,    56.2841,   176.10,          0,     0.00,          0,     0.00,          0,     0.00,    56.2841,   176.10,    56.2841,    -3.90,          0,     0.00,          0,     0.00,          0,     0.00,    56.2841,    -3.90
Line.S_1000569-DA1,     100.56,   -94.22,    100.585,   145.80,    100.601,    25.61,          0,     0.00,    0.29733,   -67.12,     100.56,    85.78,    100.585,   -34.20,    100.601,  -154.39,          0,     0.00,    0.29733,   112.88
Line.S_1000569-DA2,     100.56,   -94.22,    100.585,   145.80,    100.601,    25.61,          0,     0.00,    0.29733,   -67.12,     100.56,    85.78,    100.585,   -34.20,    100.601,  -154.39,          0,     0.00,    0.29733,   112.88
Line.S_1000569-DA3,     100.56,   -94.22,    100.585,   145.80,    100.601,    25.61,          0,     0.00,    0.29733,   -67.12,     100.56,    85.78,    100.585,   -34.20,    100.601,  -154.39,          0,     0.00,    0.29733,   112.88
Line.S_1000746-DA1,    100.556,   -94.21,     100.58,   145.82,    100.597,    25.62,          0,     0.00,   0.294562,   -67.49,    100.556,    85.79,     100.58,   -34.18,    100.597,  -154.38,          0,     0.00,   0.294562,   112.51
Line.S_1000746-DA2,    100.556,   -94.21,     100.58,   145.82,    100.597,    25.62,          0,     0.00,   0.294562,   -67.49,    100.556,    85.79,     100.58,   -34.18,    100.597,  -154.38,          0,     0.00,   0.294562,   112.51
Line.S_1000746-DA3,    100.556,   -94.21,     100.58,   145.82,    100.597,    25.62,          0,     0.00,   0.294562,   -67.49,    100.556,    85.79,     100.58,   -34.18,    100.597,  -154.38,          0,     0.00,   0.294562,   112.51
Line.S_1000608-DA1,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA2,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA3,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA4,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA5,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA6,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA7,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000608-DA8,    13.4512,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   -64.34,    13.4512,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    13.4512,   115.66
Line.S_1000609-DA1,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA2,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA3,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA4,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA5,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA6,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA7,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA8,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA9,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA10,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000609-DA11,    6.52173,   -64.39,          0,     0.00,          0,     0.00,          0,     0.00,    6.52173,   -64.39,    6.52174,   115.61,          0,     0.00,          0,     0.00,          0,     0.00,    6.52174,   115.61
Line.S_1000610-DA1,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA2,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA3,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA4,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA5,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA6,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA7,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA8,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA9,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA10,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000610-DA11,    13.0426,   -64.37,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   -64.37,    13.0426,   115.63,          0,     0.00,          0,     0.00,          0,     0.00,    13.0426,   115.63
Line.S_1000611-DA1,    14.3459,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   -64.34,    14.3459,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   115.66
Line.S_1000611-DA2,    14.3459,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   -64.34,    14.3459,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   115.66
Line.S_1000611-DA3,    14.3459,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   -64.34,    14.3459,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   115.66
Line.S_1000611-DA4,    14.3459,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   -64.34,    14.3459,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   115.66
Line.S_1000611-DA5,    14.3459,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   -64.34,    14.3459,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    14.3459,   115.66
Line.S_1000612-DA1,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA2,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA3,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA4,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA5,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA6,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA7,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000612-DA8,    17.9321,   -64.34,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   -64.34,    17.9321,   115.66,          0,     0.00,          0,     0.00,          0,     0.00,    17.9321,   115.66
Line.S_1000598-DC1,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC2,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC3,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC4,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC5,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC6,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC7,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC8,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000598-DC9,    13.1789,    55.99,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,    55.99,    13.1789,  -124.01,          0,     0.00,          0,     0.00,          0,     0.00,    13.1789,  -124.01
Line.S_1000599-DC1,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC2,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC3,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC4,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC5,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC6,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC7,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC8,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC9,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC10,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000599-DC11,    10.7831,    55.98,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,    55.98,    10.7831,  -124.02,          0,     0.00,          0,     0.00,          0,     0.00,    10.7831,  -124.02
Line.S_1000600-DC1,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC2,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC3,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC4,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC5,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC6,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC7,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC8,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000600-DC9,    8.78548,    55.95,          0,     0.00,          0,     0.00,          0,     0.00,    8.78548,    55.95,    8.78549,  -124.05,          0,     0.00,          0,     0.00,          0,     0.00,    8.78549,  -124.05
Line.S_1000602-DC1,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC2,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC3,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC4,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC5,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC6,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC7,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000602-DC8,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC1,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC2,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC3,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC4,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC5,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC6,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC7,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000601-DC8,    9.88348,    55.96,          0,     0.00,          0,     0.00,          0,     0.00,    9.88348,    55.96,    9.88349,  -124.04,          0,     0.00,          0,     0.00,          0,     0.00,    9.88349,  -124.04
Line.S_1000603-DB1,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB2,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB3,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB4,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB5,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB6,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000603-DB7,    16.3101,   175.85,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,   175.85,    16.3101,    -4.15,          0,     0.00,          0,     0.00,          0,     0.00,    16.3101,    -4.15
Line.S_1000604-DB1,    7.61238,   175.80,          0,     0.00,          0,     0.00,          0,     0.00,    7.61238,   175.80,    7.61239,    -4.20,          0,     0.00,          0,     0.00,          0,     0.00,    7.61239,    -4.20
Line.S_1000604-DB2,    7.61238,   175.80,          0,     0.00,          0,     0.00,          0,     0.00,    7.61238,   175.80,    7.61239,    -4.20,          0,     0.00,          0,     0.00,          0,     0.00,    7.61239,    -4.20
Line.S_1000604-DB3,    7.61238,   175.80,          0,     0.00,          0,     0.00,          0,     0.00,    7.61238,   175.80,    7.61239,    -4.20,          0,     0.00,          0,     0.00,          0,     0.00,    7.61239,    -4.20
Line.S_1000604-DB4,    7.61238,   175.80,          0,     0.00,          0,     0.00,          0,     0.00,    7.61238,   175.80,    7.61239,    -4.20,          0,     0.00,          0,     0.00,          0,     0.00,    7.61239,    -4.20
